18,0,0,0,0000	2,2,0,0,0000	0,0,0,0,1000	2,0,0,0,0000	0,0,0,0,1000	0,0,0,0,0000	3,0,0,0,0000	0,0,0,0,1000	2,2,0,0,0000	0,0,0,0,1000	0,0,0,0,0000	0,0,0,0,0000
0,0,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	3,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0000	0,0,0,0,1000	1,0,0,0,0000
0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	3,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0100
2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	3,0,0,0,0000	0,0,0,0,0000	17,0,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000
0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	19,0,0,0,0110	2,2,0,0,0000	3,0,0,0,0000	0,0,0,0,0011	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0100
3,3,0,0,0000	3,3,0,0,0000	3,3,0,0,0000	3,3,0,0,0000	3,3,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	2,3,0,0,0000	2,3,0,0,0000	2,3,0,0,0000	2,3,0,0,0000	0,0,0,0,0000
2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000	2,1,0,0,0000
0,0,0,0,0001	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,1100	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,1600	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0100
3,3,0,0,0000	3,3,0,0,0000	3,3,0,0,0000	2,0,0,0,0000	3,3,0,0,0000	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	17,0,0,0,0000	2,3,0,0,0000	2,3,0,0,0000	2,3,0,0,0000
0,0,0,0,0001	0,0,0,0,0000	0,0,0,0,0100	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0100
0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000
0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0010	2,0,0,0,0000	0,0,0,0,0010	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0010	2,2,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000
3,3,0,0,0000	3,3,0,0,0000	3,3,0,0,0000	2,0,0,0,0000	3,3,0,0,0000	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	17,0,0,0,0000	2,3,0,0,0000	2,3,0,0,0000	2,3,0,0,0000
0,0,0,0,0001	0,0,0,0,0000	0,0,0,0,0100	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0100
0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0000	2,2,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000
0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0010	2,0,0,0,0000	0,0,0,0,0010	2,2,0,0,0000	2,0,0,0,0000	0,0,0,0,0010	2,2,0,0,0000	0,0,0,0,0000	0,0,0,0,0000	0,0,0,0,0000
